v8-version,6,2,414,54,0
code-creation,Stub,3,245000,0x258686b78a0,1215,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686b7dc0,2099,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686b8660,411,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,245000,0x258686b8860,2095,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686b9100,2168,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686b99e0,2096,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686ba280,89,"DoubleToIStub"
code-creation,Stub,3,245000,0x258686ba340,2126,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686bac00,2112,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686bb4a0,87,"DoubleToIStub"
code-creation,Handler,4,245000,0x258686bb560,132,"An IC handler from the snapshot"
code-creation,Stub,3,245000,0x258686bb660,327,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,245000,0x258686bb820,2108,"RecordWriteStub"
code-creation,Handler,4,245000,0x258686bc0c0,612,"An IC handler from the snapshot"
code-creation,Stub,3,245000,0x258686bc3a0,319,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,245000,0x258686bc540,2126,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686bce00,2099,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686bd6a0,2095,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686bdf40,2153,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686be820,563,"TransitionElementsKindStub"
code-creation,Stub,3,245000,0x258686beac0,882,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686beea0,2084,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686bf740,2095,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686bffe0,2096,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686c0880,312,"CEntryStub"
code-creation,Stub,3,245000,0x258686c0a20,2138,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686c12e0,2138,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686c1ba0,2168,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686c2480,2126,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686c2d40,2096,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686c35e0,1254,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686c3b40,2095,"RecordWriteStub"
code-creation,Handler,4,245000,0x258686c43e0,600,"An IC handler from the snapshot"
code-creation,Stub,3,245000,0x258686c46a0,2134,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686c4f60,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,245000,0x258686c50a0,2095,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686c5940,2108,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686c61e0,2099,"RecordWriteStub"
code-creation,Handler,4,245000,0x258686c6a80,552,"An IC handler from the snapshot"
code-creation,Stub,3,245000,0x258686c6d20,906,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686c7120,2112,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686c79c0,1242,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686c7f00,2108,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686c87a0,2092,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686c9040,2095,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686c98e0,2130,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686ca1a0,2112,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686caa40,2096,"RecordWriteStub"
code-creation,Stub,3,245000,0x258686cb2e0,337,"ArrayConstructorStub"
code-creation,Builtin,5,245000,0x258686cb4a0,25,"Abort"
code-creation,Stub,3,245000,0x258686cb520,2134,"RecordWriteStub"
code-creation,Builtin,5,245000,0x258686cbde0,15,"StrictPoisonPillThrower"
code-creation,Builtin,5,245000,0x258686cbe60,28,"ReturnReceiver"
code-creation,Builtin,5,245000,0x258686cbee0,446,"GeneratorPrototypeNext"
code-creation,Builtin,5,245000,0x258686cc100,249,"ResumeGeneratorTrampoline"
code-creation,Builtin,5,245000,0x258686cc260,223,"CreateIterResultObject"
code-creation,Builtin,5,245000,0x258686cc3a0,450,"GeneratorPrototypeReturn"
code-creation,Builtin,5,245000,0x258686cc5e0,462,"GeneratorPrototypeThrow"
code-creation,Builtin,5,245000,0x258686cc820,1544,"AsyncFromSyncIteratorPrototypeNext"
code-creation,Builtin,5,245000,0x258686ccea0,76,"ToBoolean"
code-creation,Builtin,5,245000,0x258686ccf60,3876,"ResolveNativePromise"
code-creation,Builtin,5,245000,0x258686cdf00,284,"StringEqual"
code-creation,Builtin,5,245000,0x258686ce080,5140,"PerformNativePromiseThen"
code-creation,Builtin,5,245000,0x258686cf500,668,"RejectNativePromise"
code-creation,Builtin,5,245000,0x258686cf800,2044,"AsyncFromSyncIteratorPrototypeReturn"
code-creation,Builtin,5,245000,0x258686d0060,1580,"AsyncFromSyncIteratorPrototypeThrow"
code-creation,Builtin,5,245000,0x258686d0700,912,"AsyncGeneratorPrototypeNext"
code-creation,Builtin,5,245000,0x258686d0b00,444,"AsyncGeneratorResumeNext"
code-creation,Builtin,5,245000,0x258686d0d20,290,"AsyncGeneratorResolve"
code-creation,Builtin,5,245000,0x258686d0ec0,111,"AsyncGeneratorReject"
code-creation,Builtin,5,245000,0x258686d0fa0,1124,"AsyncGeneratorReturn"
code-creation,Builtin,5,245000,0x258686d1480,920,"AsyncGeneratorPrototypeReturn"
code-creation,Builtin,5,245000,0x258686d1880,920,"AsyncGeneratorPrototypeThrow"
code-creation,Builtin,5,245000,0x258686d1c80,15,"Illegal"
code-creation,Builtin,5,245000,0x258686d1d00,15,"ObjectAssign"
code-creation,Builtin,5,245000,0x258686d1d80,15,"ObjectGetOwnPropertyDescriptor"
code-creation,Builtin,5,245000,0x258686d1e00,15,"ObjectGetOwnPropertyDescriptors"
code-creation,Builtin,5,245000,0x258686d1e80,15,"ObjectGetOwnPropertyNames"
code-creation,Builtin,5,245000,0x258686d1f00,15,"ObjectGetOwnPropertySymbols"
code-creation,Builtin,5,245000,0x258686d1f80,15,"ObjectIs"
code-creation,Builtin,5,245000,0x258686d2000,15,"ObjectPreventExtensions"
code-creation,Builtin,5,245000,0x258686d2080,15,"ObjectSeal"
code-creation,Builtin,5,245000,0x258686d2100,848,"ObjectCreate"
code-creation,Builtin,5,245000,0x258686d24c0,15,"ObjectDefineProperties"
code-creation,Builtin,5,245000,0x258686d2540,15,"ObjectDefineProperty"
